id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss,models+AF8-ensemble+AF8-count
openml.org/t/3818,tae,AutoGluon,test,0,binary,0.5625,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:06:51,17.6,12.3,0.1,14,1435810997,,0.5625,0.541667,0.516667,0.855845,3
openml.org/t/3818,tae,AutoGluon,test,1,binary,0.866667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:07:02,11,8.4,0.007,14,1435810998,,0.866667,0.74,0.85,0.618135,2
openml.org/t/3818,tae,AutoGluon,test,2,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:07:13,11.1,8.3,0.07,14,1435810999,,0.733333,0.88,0.6,0.511433,3
openml.org/t/3818,tae,AutoGluon,test,3,binary,0.8,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:07:25,11.5,8.9,0.01,14,1435811000,,0.8,0.72,0.8,0.742782,2
openml.org/t/3818,tae,AutoGluon,test,4,binary,0.666667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:07:36,11.1,8.6,0.01,14,1435811001,,0.666667,0.8,0.6,0.443858,2
openml.org/t/3818,tae,AutoGluon,test,5,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:07:47,11,8.5,0.007,14,1435811002,,0.733333,0.82,0.8,0.643182,2
openml.org/t/3818,tae,AutoGluon,test,6,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:08:00,12.3,9.7,0.006,14,1435811003,,0.733333,0.72,0.7,0.732436,2
openml.org/t/3818,tae,AutoGluon,test,7,binary,0.866667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:08:13,13.1,10.4,0.007,14,1435811004,,0.866667,0.92,0.85,0.27505,3
openml.org/t/3818,tae,AutoGluon,test,8,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:08:25,11.6,8.8,0.006,14,1435811005,,0.733333,0.62,0.6,0.61308,3
openml.org/t/3818,tae,AutoGluon,test,9,binary,0.666667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-26T21:08:36,11.1,8.6,0.006,14,1435811006,,0.666667,0.722222,0.638889,0.733491,2
openml.org/t/3818,tae,autosklearn,test,0,binary,0.4375,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:31:47,65.5,56.1,0.1,6,1255017038,,0.4375,0.466667,0.383333,0.867525,
openml.org/t/3818,tae,autosklearn,test,1,binary,0.666667,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:33:01,73,65.3,0.3,12,1255017039,,0.666667,0.8,0.6,0.584276,
openml.org/t/3818,tae,autosklearn,test,2,binary,0.666667,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:34:15,74.5,67,0.2,10,1255017040,,0.666667,0.82,0.55,0.554502,
openml.org/t/3818,tae,autosklearn,test,3,binary,0.733333,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:35:42,86.9,79.7,0.1,6,1255017041,,0.733333,0.7,0.6,0.576743,
openml.org/t/3818,tae,autosklearn,test,4,binary,0.733333,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:36:57,74.6,67.3,0.2,10,1255017042,,0.733333,0.82,0.75,0.514199,
openml.org/t/3818,tae,autosklearn,test,5,binary,0.733333,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:38:25,88.1,80.7,0.2,12,1255017043,,0.733333,0.9,0.7,0.500498,
openml.org/t/3818,tae,autosklearn,test,6,binary,0.8,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:39:35,69.7,62.2,0.09,5,1255017044,,0.8,0.92,0.8,0.656157,
openml.org/t/3818,tae,autosklearn,test,7,binary,0.733333,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:40:43,68.2,60.7,0.2,9,1255017045,,0.733333,0.7,0.65,0.555858,
openml.org/t/3818,tae,autosklearn,test,8,binary,0.8,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:41:54,70.1,62.4,0.3,13,1255017046,,0.8,0.76,0.75,0.512621,
openml.org/t/3818,tae,autosklearn,test,9,binary,0.866667,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:43:07,73.5,66,0.2,6,1255017047,,0.866667,0.888889,0.888889,0.462434,
openml.org/t/3818,tae,AutoWEKA,test,0,binary,0.5,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:44:23,68.5,68.3,,,1361697771,,0.5,0.45,0.433333,0.849117,
openml.org/t/3818,tae,AutoWEKA,test,1,binary,0.6,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:45:31,67.9,67.9,,,1361697772,,0.6,0.49,0.55,0.742677,
openml.org/t/3818,tae,AutoWEKA,test,2,binary,0.733333,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:46:39,67.8,67.7,,,1361697773,,0.733333,0.67,0.65,0.577651,
openml.org/t/3818,tae,AutoWEKA,test,3,binary,0.666667,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:47:47,67.4,67.4,,,1361697774,,0.666667,0.54,0.55,0.681517,
openml.org/t/3818,tae,AutoWEKA,test,4,binary,0.8,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:48:55,67.8,67.8,,,1361697775,,0.8,0.77,0.8,0.55029,
openml.org/t/3818,tae,AutoWEKA,test,5,binary,0.666667,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:50:03,67.9,67.9,,,1361697776,,0.666667,0.82,0.55,0.505089,
openml.org/t/3818,tae,AutoWEKA,test,6,binary,0.866667,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:51:11,68,68,,,1361697777,,0.866667,0.87,0.85,0.448029,
openml.org/t/3818,tae,AutoWEKA,test,7,binary,0.733333,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:52:17,66.1,66,,,1361697778,,0.733333,0.66,0.65,0.578909,
openml.org/t/3818,tae,AutoWEKA,test,8,binary,0.8,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:53:27,69.5,69.4,,,1361697779,,0.8,0.74,0.75,0.522815,
openml.org/t/3818,tae,AutoWEKA,test,9,binary,0.733333,acc,local,latest,,2.1.4,2024+AC0-01+AC0-26T21:54:35,67.9,67.9,,,1361697780,,0.733333,0.722222,0.722222,0.580895,
openml.org/t/3818,tae,H2OAutoML,test,0,binary,0.6875,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:19:38,74.1,62,0.07,56,25149493,,0.6875,0.65,0.716667,0.712938,
openml.org/t/3818,tae,H2OAutoML,test,1,binary,0.8,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:20:49,71.2,61.8,0.07,57,25149494,,0.8,0.84,0.85,0.482395,
openml.org/t/3818,tae,H2OAutoML,test,2,binary,0.666667,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:22:04,74.4,62.5,0.06,50,25149495,,0.666667,0.63,0.6,1.00559,
openml.org/t/3818,tae,H2OAutoML,test,3,binary,0.733333,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:23:17,73,61.8,0.07,56,25149496,,0.733333,0.7,0.65,0.677582,
openml.org/t/3818,tae,H2OAutoML,test,4,binary,0.666667,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:24:29,71.6,61.8,0.3,52,25149497,,0.666667,0.78,0.7,0.501758,
openml.org/t/3818,tae,H2OAutoML,test,5,binary,0.8,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:25:40,71.3,61.8,0.07,66,25149498,,0.8,0.8,0.8,0.583072,
openml.org/t/3818,tae,H2OAutoML,test,6,binary,0.8,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:26:51,71,61.6,0.08,53,25149499,,0.8,0.86,0.8,0.507701,
openml.org/t/3818,tae,H2OAutoML,test,7,binary,0.866667,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:28:03,71.4,61.7,0.07,55,25149500,,0.866667,0.8,0.85,0.478121,
openml.org/t/3818,tae,H2OAutoML,test,8,binary,0.733333,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:29:18,75.1,63.1,0.3,51,25149501,,0.733333,0.76,0.7,0.509092,
openml.org/t/3818,tae,H2OAutoML,test,9,binary,0.8,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-26T21:30:29,71,61.5,0.07,54,25149502,,0.8,0.944444,0.805556,0.440194,
